read_flag,post_process,2025,2025_alt,2024_v2,2024,2022_v3,2024_gs,2022_v3_gs,2024_alt,tsitika
,sub_device,,,Submitting Device,Submitting Device,Submitting Device,deviceid,deviceid,,
,device_user,,,Device User,Device User,Device User,username,username,,
,form_time,,,Form Completed,Form Completed,Form Completed,submissiondatetime,submissiondatetime,,
,upload_time,,,Upload Completed,Upload Completed,Upload Completed,,,,
,sub_id,,,Submission ID,Submission ID,Submission ID,submissionid,submissionid,,
,sub_id_device,,,Submission ID generated by device,Submission ID generated by device,Submission ID generated by device,,,,
1,start_time,,,Survey Start Time,Survey Start Time,Survey Start Time,Survey_Start_Time,Survey_Start_Time,,plot_datetime
1,study_area,,,Study Area,Study Area,Study Area,Study_Area,Study_Area,,study_area
1,other_study_area,,,Other Study Area,Other Study Area,Other Study Area,Other_Study_Area,Other_Study_Area,,other_study_area
1,users,,,User(s),User(s),User(s),User_s_,User_s_,,users
1,plot_id,,,Plot ID,Plot ID,Plot ID,Plot_ID,Plot_ID,,plot_id
1,plot_id_tsi,Plot ID (Russell Creek),,,,,,,,
1,plot_id_cru,Plot ID (Cruickshank) ,,,,,,,,
1,plot_id_eng,Plot ID (Englishman),,,,,,,,
1,plot_id_mv,Plot ID (Metro Vancouver),,,,,,,,
1,is_there_snow,Is There Snow?,,,,,,,,
,tube_name,,,Tube Name,Tube Name,Tube Name,Tube_Name,Tube_Name,,tube_name
1,pre_survey_notes,,,Pre Survey Notes,Pre Survey Notes,Pre Survey Notes,Pre_Survey_Notes,Pre_Survey_Notes,,pre_survey_notes
,gnss_unit,,,GNSS Used?,GNSS Used?,GNSS Used?,GNSS_Used_,GNSS_Used_,,gnss_unit
,gnss_setup,,,GNSS Setup,GNSS Setup,GNSS Setup,GNSS_Setup,GNSS_Setup,,gnss_setup
,other_gnss_setup,,,Other GNSS Setup,Other GNSS Setup,Other GNSS Setup,Other_GNSS_Setup,Other_GNSS_Setup,,other_gnss_setup
,gnss_status,,,GNSS Status,GNSS Status,GNSS Status,GNSS_Status,GNSS_Status,,gnss_status
,rover_height,,,GNSS Height Rover to Snow (cm),GNSS Height Rover to Snow (cm),GNSS Height Rover to Snow (cm),GNSS_Height_Rover_to_Snow__cm_,GNSS_Height_Rover_to_Snow__cm_,,rover_height
,tare_weight,,,Tare Weight (g),Tare Weight (g),Tare Weight (g),Tare_Weight__g_,Tare_Weight__g_,,tare_weight_g
,tare_swe,,,Tare SWE (cm),Tare Weight (cm),,Tare_Weight__cm_,,,
,sampling_design,,,Sampling Design,Sampling Design,Sampling Design,Sampling_Design,Sampling_Design,,
1,plot_type,,,Type of Plot,Type of Plot,Type of Plot,Type_of_Plot,Type_of_Plot,,plot_type
1,cardinal_dir,,,Point Observation : Cardinal Direction,Point Observation : Cardinal Direction,Point Observation : Cardinal Direction,Point_Observation.Cardinal_Direction,Point_Observation.Cardinal_Direction,,cardinal
1,other_direction,Point Observation : Other Direction (째),,Other_Direction,,,,,,
1,distance_m,,,Point Observation : Distance From Centre (m),Point Observation : Distance From Centre (m),Point Observation : Distance From Centre (m),Point_Observation.Distance_From_Centre__m_,Point_Observation.Distance_From_Centre__m_,,distance_m
1,custom_distance_m,,,Point Observation : Custom Distance From Centre (m),Point Observation : Custom Distance From Centre (m),Point Observation : Custom Distance From Centre (m),Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,,custom_distance
1,sample_type,,,Point Observation : Sample Type,Point Observation : Sample Type,Point Observation : Sample Type,Point_Observation.Sample_Type,Point_Observation.Sample_Type,,sample_type
,scale_type,,,,,,,,,
1,depth_cm,,,Point Observation : Depth (cm),Point Observation : Depth (cm),Point Observation : Depth (cm),Point_Observation.Depth__cm_,Point_Observation.Depth__cm_,,depth_cm
,depth_time,,,Point Observation : Depth (cm) : timestamp,Point Observation : Depth (cm) : timestamp,Point Observation : Depth (cm) : timestamp,Point_Observation.Depth__cm_:timestamp,Point_Observation.Depth__cm_:timestamp,,depth_timestamp
,number_probes,,,Point Observation : Number of probe extensions used?,Point Observation : Number of probe extensions used?,Point Observation : Number of probe extensions used?,Point_Observation.Number_of_probe_extensions_used_,Point_Observation.Number_of_probe_extensions_used_,,
1,depth_final_cm,,,Point Observation : Depth Final (cm),Point Observation : Depth Final (cm),Point Observation : Depth Final (cm),Point_Observation.Depth_Final__cm_,Point_Observation.Depth_Final__cm_,,snow_depth
,core_length_cm,,,Point Observation : Core Length (cm),Point Observation : Core Length (cm),Point Observation : Core Length (cm),Point_Observation.Core_Length__cm_,Point_Observation.Core_Length__cm_,,core_length_cm
,plug_cm,,,Point Observation : Plug (cm),Point Observation : Plug (cm),Point Observation : Plug (cm),Point_Observation.Plug__cm_,Point_Observation.Plug__cm_,,plug_cm
,snowtube_cm,,,Point Observation : Snow + Tube (cm),Point Observation : Mass + Tube (cm SWE),,Point_Observation.SWE_cm,,,
,snowtube_g,,,Point Observation : Snow + Tube (g),Point Observation : Mass + Tube (g),Point Observation : Mass + Tube (g),Point_Observation.Mass___Tube__g_,Point_Observation.Mass___Tube__g_,,mass_tube_g
1,multicore,,,Point Observation : Multi-Part Core?,Point Observation : Multi-Part Core?,Point Observation : Multi-Part Core?,Point_Observation.Multi_Part_Core_,Point_Observation.Multi_Part_Core_,,multi_core
,multicore_num,,,Point Observation : Multi-Part Core Section Number,Point Observation : Multi-Part Core Section Number,Point Observation : Multi-Part Core Section Number,Point_Observation.Multi_Part_Core_Section_Number,Point_Observation.Multi_Part_Core_Section_Number,,multi_part_core_num
,multicore_num_add,,,Point Observation : Additional Measurements : Multi-Part Core Section Number Copy,Point Observation : Additional Measurements : Multi-Part Core Section Number Copy,Point Observation : Additional Measurements : Multi-Part Core Section Number Copy,Point_Observation.Additional_Measurements.Multi_Part_Core_Section_Number_copy,Point_Observation.Additional_Measurements.Multi_Part_Core_Section_Number_copy,,multi_core_num_copy
,multicore_depth,,,Point Observation : Additional Measurements : New Depth (cm),Point Observation : Additional Measurements : New Depth (cm),Point Observation : Additional Measurements : New Depth (cm),Point_Observation.Additional_Measurements.New_Depth__cm_,Point_Observation.Additional_Measurements.New_Depth__cm_,,depth_cm_new
,multicore_depth_time,,,Point Observation : Additional Measurements : New Depth (cm) : timestamp,Point Observation : Additional Measurements : New Depth (cm) : timestamp,Point Observation : Additional Measurements : New Depth (cm) : timestamp,Point_Observation.Additional_Measurements.New_Depth__cm_:timestamp,Point_Observation.Additional_Measurements.New_Depth__cm_:timestamp,,depth_cm_timestamp_new
,multicore_sec_length,,,Point Observation : Additional Measurements : Core Section Length (cm),Point Observation : Additional Measurements : Core Section Length (cm),Point Observation : Additional Measurements : Core Section Length (cm),Point_Observation.Additional_Measurements.Core_Section_Length__cm_,Point_Observation.Additional_Measurements.Core_Section_Length__cm_,,core_section_length_cm
,multicore_sec_plug,,,Point Observation : Additional Measurements : Core Section Plug (cm),Point Observation : Additional Measurements : Plug?,Point Observation : Additional Measurements : Plug?,Point_Observation.Additional_Measurements.Plug_,Point_Observation.Additional_Measurements.Plug_,,plug_cm_copy
,multicore_snowtube_cm,,,Point Observation : Additional Measurements : Core Section Snow + Tube (cm),Point Observation : Additional Measurements : Mass + Tube,Point Observation : Additional Measurements : Mass + Tube,Point_Observation.Additional_Measurements.SWE,,,
,multicore_snowtube_g,,,Point Observation : Additional Measurements : Core Section Snow + Tube (g),Point Observation : Additional Measurements : Mass + Tube,,Point_Observation.Additional_Measurements.Mass___Tube,Point_Observation.Additional_Measurements.Mass___Tube,,mass_tube_g_new
,core_length_final,,,Point Observation : Core Length Final (cm),Point Observation : Core Length Final (cm),Point Observation : Core Length Final (cm),Point_Observation.Core_Length_Final__cm_,Point_Observation.Core_Length_Final__cm_,,core_length_final
1,plot_features,,,Point Observation : Plot Features,Point Observation : Plot Features,Point Observation : Plot Features,Point_Observation.Plot_Features,Point_Observation.Plot_Features,,plot_features
,abbr,,,Point Observation : Abbreviations,Point Observation : Abbreviations,Point Observation : Abbreviations,Point_Observation.Abbreviations,Point_Observation.Abbreviations,,
,core_features,,,Point Observation : Core Features,Point Observation : Core Features,Point Observation : Core Features,Point_Observation.Core_Features,Point_Observation.Core_Features,,core_features
,saturation_depth,,,Point Observation : Depth of Saturation,Point Observation : Depth of Saturation,Point Observation : Depth of Saturation,Point_Observation.Depth_of_Saturation,Point_Observation.Depth_of_Saturation,,depth_of_saturation
,mass_final_g,,,Point Observation : Scale Mass Final (g),Point Observation : Mass Final (g),Point Observation : Mass Final (g),Point_Observation.Mass_Final__g_,Point_Observation.Mass_Final__g_,,mass_final_g
1,swe_final_gscale,,,Point Observation : SWE (cm),Point Observation : SWE (cm),Point Observation : SWE (cm),Point_Observation.SWE__cm_,Point_Observation.SWE__cm_,,swe_cm
1,swe_final_swescale,Point Observation : SWE Final (cm SWE),,Point Observation : SWE Final (SWE scale),Point Observation : SWE Final (cm),,Point_Observation.SWE_Final__cm_,,,
1,depth_max,,,Point Observation : Depth Max,Point Observation : Depth Max,Point Observation : Depth Max,Point_Observation.Depth_Max,Point_Observation.Depth_Max,,
1,retrieval,,,Point Observation : Retrieval (%),Point Observation : Retrieval (%),Point Observation : Retrieval (%),Point_Observation.Retrieval____,Point_Observation.Retrieval____,,retrieval
1,density_gscale,,,Point Observation : Density (mass scale),Point Observation : Density,Point Observation : Density,Point_Observation.Density,Point_Observation.Density,,density
1,density_swescale,,,Point Observation : Density (SWE scale),,,Point_Observation.Density_MetroVan,,,
1,sample_rating,,,Point Observation : Sample Rating,Point Observation : Sample Rating,Point Observation : Sample Rating,Point_Observation.Sample_Rating,Point_Observation.Sample_Rating,,sample_rating
1,obs_notes,,,Point Observation : Point Observation Notes,Point Observation : Point Observation Notes,Point Observation : Point Observation Notes,Point_Observation.Point_Observation_Notes,Point_Observation.Point_Observation_Notes,,notes
,obs_pic,,,Point Observation : Picture,Point Observation : Picture,Point Observation : Picture,Point_Observation.Picture,Point_Observation.Picture,,
,snow_pit_dist_from_centre,,,Snow Pit Measurement : Distance from centre of plot (m),Snow Pit Measurement : Distance from centre of plot (m),Snow Pit Measurement : Distance from centre of plot (m),Snow_Pit_Measurement.Distance_from_centre_of_plot__m_,Snow_Pit_Measurement.Distance_from_centre_of_plot__m_,,snow_pit_distance_from_centre
,snow_pit_depth_above_ground,,,Snow Pit Measurement : Depth above ground (cm),Snow Pit Measurement : Depth above ground (cm),Snow Pit Measurement : Depth above ground (cm),Snow_Pit_Measurement.Depth_above_ground__cm_,Snow_Pit_Measurement.Depth_above_ground__cm_,,snow_pit_depth_above_ground
,snow_pit_temp,,,Snow Pit Measurement : Temperature (째C),Snow Pit Measurement : Temperature (째C),Snow Pit Measurement : Temperature (째C),Snow_Pit_Measurement.Temperature___C_,Snow_Pit_Measurement.Temperature___C_,,snow_pit_temperature
,snow_pit_density,,,Snow Pit Measurement : Density Notes,Snow Pit Measurement : Density Notes,Snow Pit Measurement : Density Notes,Snow_Pit_Measurement.Density_Notes,Snow_Pit_Measurement.Density_Notes,,snow_pit_density
,end_time,,,Survey End Time,Survey End TIme,Survey End TIme,Survey_End_TIme,Survey_End_TIme,,survey_end
