aco_flight_number,plot_datetime,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,plot_features,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm,density,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end,2023_Final_ID,Alternate_ID,Northing_m,Easting_m,Orthoetric_Height,Latitude_dd,Longitude_dd,Ellipsoid_Height_m,"Processing_Method (RTK PPK, PPP)",Datum,Geoid_Model,Equipment_Used,Date_Surveyed,Notes
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,W,10.0,,Depth,47.0,4/5/2024 11:59,47.0,,,,47.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,W,7.5,,Depth,51.0,4/5/2024 11:59,51.0,,,,51.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,W,5.0,,Depth,70.0,4/5/2024 11:59,70.0,,,,70.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,W,2.5,,Depth,75.0,4/5/2024 12:00,75.0,,,,75.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,W,10.0,,Density,45.0,4/5/2024 12:01,,40.0,0.0,3050.0,45.0,no,,,,,,,,40.0,E,,,160.0,45.0,89.0,14.258,0.317,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,Centre,,,Depth,102.0,4/5/2024 12:02,102.0,,,,102.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,E,10.0,,Depth,102.0,4/5/2024 12:03,102.0,,,,102.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,E,7.5,,Depth,100.0,4/5/2024 12:04,100.0,,,,100.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,E,5.0,,Depth,75.0,4/5/2024 12:04,75.0,,,,75.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,E,2.5,,Depth,41.0,4/5/2024 12:04,41.0,,,,41.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,N,10.0,,Density,53.0,4/5/2024 12:07,,51.0,0.0,3130.0,53.0,no,,,,,,,,51.0,U,,,240.0,53.0,96.0,21.386,0.404,Good,50 cm past 10 min mark,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,N,10.0,,Depth,,,,,,,0.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,S,10.0,,Depth,146.0,4/5/2024 12:07,146.0,,,,146.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,S,7.5,,Depth,65.0,4/5/2024 12:07,65.0,,,,65.0,,,,,,,,,,"U,TW",,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,S,5.0,,Depth,32.0,4/5/2024 12:08,32.0,,,,32.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,S,2.5,,Depth,30.0,4/5/2024 12:09,30.0,,,,30.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,E,10.0,,Density,103.0,4/5/2024 12:10,,91.0,0.0,3330.0,103.0,no,,,,,,,,91.0,O,,,440.0,103.0,88.0,39.208,0.381,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,S,10.0,,Density,165.0,4/5/2024 12:12,,151.0,0.0,3720.0,165.0,,,,,,,,,151.0,O,,,830.0,165.0,92.0,73.961,0.448,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,N,10.0,,Depth,53.0,4/5/2024 12:12,53.0,,,,53.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,N,7.5,,Depth,65.0,4/5/2024 12:13,65.0,,,,65.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,N,5.0,,Depth,94.0,4/5/2024 12:13,94.0,,,,94.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,N,2.5,,Depth,112.0,4/5/2024 12:13,112.0,,,,112.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,NW,10.0,,Depth,140.0,4/5/2024 12:14,140.0,,,,140.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,NW,7.5,,Depth,121.0,4/5/2024 12:14,121.0,,,,121.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,NW,5.0,,Depth,87.0,4/5/2024 12:15,87.0,,,,87.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,NW,2.5,,Depth,108.0,4/5/2024 12:16,108.0,,,,108.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,Centre,,,Density,110.0,4/5/2024 12:15,,109.0,0.0,3340.0,110.0,no,,,,,,,,109.0,E,,,450.0,110.0,99.0,40.1,0.365,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,SE,10.0,,Depth,121.0,4/5/2024 12:17,121.0,,,,121.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,SE,7.5,,Depth,41.0,4/5/2024 12:18,41.0,,,,41.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,SE,5.0,,Depth,29.0,4/5/2024 12:18,29.0,,,,29.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,SE,2.5,,Depth,40.0,4/5/2024 12:19,40.0,,,,40.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,NE,10.0,,Depth,118.0,4/5/2024 12:20,118.0,,,,118.0,,,,,,,,,,"U,TW",,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,NE,7.5,,Depth,119.0,4/5/2024 12:21,119.0,,,,119.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,NE,5.0,,Depth,92.0,4/5/2024 12:21,92.0,,,,92.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,NE,2.5,,Depth,71.0,4/5/2024 12:21,71.0,,,,71.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,SW,10.0,,Depth,98.0,4/5/2024 12:22,98.0,,,,98.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,SW,7.5,,Depth,31.0,4/5/2024 12:22,31.0,,,,31.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,SW,5.0,,Depth,68.0,4/5/2024 12:23,68.0,,,,68.0,,,,,,,,,,E,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,Cardinal 10 m,SW,2.5,,Depth,68.0,4/5/2024 12:23,68.0,,,,68.0,,,,,,,,,,U,,,,,,,,Good,,,,,,4/5/2024 12:23,,,5451854.165,386112.734,1413.471,"49∞12'32.00294""","-124∞33'49.09341""",1413.426,RTK Float,WGS84,CGVD_2013,Stonex,3/14/2023 12:52,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,E,10.0,,Density,205.0,4/5/2024 9:30,,180.0,0.0,3870.0,205.0,,,,,,,,,180.0,O,,,980.0,205.0,88.0,87.328,0.426,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,S,10.0,,Density,200.0,4/5/2024 9:32,,189.0,0.0,3870.0,200.0,,,,,,,,,189.0,O,,,980.0,200.0,95.0,87.328,0.437,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,NE,10.0,,Depth,188.0,4/5/2024 9:33,188.0,,,,188.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,NE,7.5,,Depth,157.0,4/5/2024 9:33,157.0,,,,157.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,NE,5.0,,Depth,174.0,4/5/2024 9:34,174.0,,,,174.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,NE,2.5,,Depth,163.0,4/5/2024 9:34,163.0,,,,163.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,W,10.0,,Density,192.0,4/5/2024 9:34,,185.0,0.0,3730.0,192.0,no,,,,,,,,185.0,O,,,840.0,192.0,96.0,74.852,0.39,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,SW,10.0,,Depth,206.0,4/5/2024 9:35,206.0,,,,206.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,SW,7.5,,Depth,224.0,4/5/2024 9:36,224.0,,,,224.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,SW,5.0,,Depth,200.0,4/5/2024 9:37,200.0,,,,200.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
1,4/5/2024 9:29,Englishman,,Ak bf sm,E1A,CHRL 1,,,,,,,2890,Cardinal 10 m,SW,2.5,,Depth,249.0,4/5/2024 9:37,249.0,,,,249.0,,,,,,,,,,O,,,,,,,,Good,,,,,,4/5/2024 9:42,,,5452078.228,385466.237,1552.371,"49∞12'38.82232""","-124∞34'21.26511""",1552.366,RTK Fixed,WGS84,CGVD_2013,Stonex,3/16/2023 13:37,
